Date,Open,High,Low,Close,Adj Close,Volume,Monthly Return,Monthly Risk Free Return,Equity Premium
10/1/1990,8.68,8.72,8.04,8.04,3.056748,0,0.075439617,0.006122883,0.069316734
11/1/1990,8.04,8.67,8.04,8.67,3.296269,0,0.008041557,0.006098036,0.001943521
12/1/1990,8.74,8.97,8.64,8.74,3.322883,0,0.102599674,0.006015206,0.096584468
1/1/1991,8.71,9.49,8.3,9.49,3.681913,0,0.107781079,0.005509793,0.102271286
2/1/1991,9.59,10.57,9.59,10.57,4.100929,0,0.066782459,0.005294294,0.061488165
3/1/1991,10.65,11.3,10.65,11.3,4.384151,0,-0.004434162,0.005169946,-0.009604108
4/1/1991,11.27,11.81,11.25,11.25,4.364754,0,0.042633404,0.004921204,0.0377122
5/1/1991,11.36,11.74,11.19,11.74,4.554862,0,-0.056958079,0.004722166,-0.061680245
6/1/1991,11.77,11.77,11.05,11.09,4.302676,0,0.037172699,0.004747048,0.032425651
7/1/1991,11.18,11.51,11.08,11.51,4.465628,0,0.040022217,0.004747048,0.035275169
8/1/1991,11.53,11.98,11.32,11.98,4.647977,0,0.004165172,0.004738754,-0.000573582
9/1/1991,11.94,12.03,11.75,12.03,4.667377,0,0.027061341,0.004564566,0.022496775
10/1/1991,12.06,12.36,11.82,12.36,4.795407,0,-0.051463351,0.004373755,-0.055837106
11/1/1991,12.35,12.53,11.7,11.74,4.554862,0,0.037614317,0.004124815,0.033489502
12/1/1991,11.77,12.19,11.27,12.19,4.729453,0,0.117106266,0.003718079,0.113388187
1/1/1992,12.19,13.18,12.19,13.16,5.317035,0,0.034357228,0.003294567,0.031062661
2/1/1992,13.22,13.7,13.22,13.62,5.502888,0,-0.034357228,0.003277955,-0.037635183
3/1/1992,13.66,13.67,13.12,13.16,5.317035,0,-0.030866647,0.003352707,-0.034219354
4/1/1992,13.11,13.11,12.47,12.76,5.155423,0,0.011686447,0.003452367,0.00823408
5/1/1992,12.76,12.97,12.76,12.91,5.216025,0,-0.049216183,0.003153356,-0.052369539
6/1/1992,12.96,13,12.09,12.29,4.965527,0,0.035175656,0.003153356,0.0320223
7/1/1992,12.36,12.73,12.16,12.73,5.143301,0,-0.024653281,0.00303705,-0.027690331
8/1/1992,12.78,12.79,12.29,12.42,5.018052,0,0.016766803,0.002704672,0.014062131
9/1/1992,12.45,12.77,12.45,12.63,5.102898,0,0.03117965,0.002688051,0.028491599
10/1/1992,12.57,13.03,12.27,13.03,5.264511,0,0.067507605,0.002289045,0.06521856
11/1/1992,13.11,13.94,13.09,13.94,5.632176,0,0.009282663,0.002521818,0.006760845
12/1/1992,13.96,14.19,13.7,14.07,5.684701,0,0.060830758,0.002812707,0.058018051
1/1/1993,14.01,14.72,14.01,14.6,6.04124,0,-0.018666529,0.002621561,-0.02128809
2/1/1993,14.67,14.91,14.06,14.33,5.929517,0,0.030242573,0.002463629,0.027778944
3/1/1993,14.37,14.88,14.37,14.77,6.11158,0,-0.028847817,0.002505193,-0.03135301
4/1/1993,14.75,14.75,14.15,14.35,5.937793,0,0.041629881,0.002455317,0.039174564
5/1/1993,14.43,15.03,14.43,14.96,6.1902,0,0.002669852,0.002471942,0.00019791
6/1/1993,15.05,15.11,14.69,15,6.206749,0,0.00929058,0.002604938,0.006685642
7/1/1993,15.05,15.25,14.98,15.14,6.264682,0,0.041402695,0.002580002,0.038822693
8/1/1993,15.21,15.78,15.21,15.78,6.529501,0,0.027501634,0.002580002,0.024921632
9/1/1993,15.83,16.219999,15.58,16.219999,6.711565,0,0.02616534,0.002563378,0.023601962
10/1/1993,16.27,16.68,16.27,16.65,6.889493,0,-0.029252391,0.002480255,-0.031732646
11/1/1993,16.709999,16.719999,15.99,16.17,6.690878,0,-0.031409661,0.002580002,-0.033989663
12/1/1993,16.309999,16.42,15.19,15.67,6.483986,0,0.099122161,0.002671429,0.096450732
1/1/1994,15.58,16.24,15.58,16.24,7.159625,0,-0.003701729,0.002555066,-0.006256795
2/1/1994,16.219999,16.32,15.98,16.18,7.133171,0,-0.052009029,0.002538442,-0.054547471
3/1/1994,16.110001,16.549999,15.36,15.36,6.771664,0,0.007135792,0.002887494,0.004248298
4/1/1994,15.11,15.65,14.84,15.47,6.820158,0,-0.008438831,0.002962275,-0.011401106
5/1/1994,15.58,15.62,14.99,15.34,6.762846,0,-0.033137291,0.003302873,-0.036440164
6/1/1994,15.39,15.55,14.78,14.84,6.542416,0,0.017368275,0.003585232,0.013783043
7/1/1994,14.91,15.19,14.91,15.1,6.657039,0,0.053509421,0.003543714,0.049965707
8/1/1994,15.17,15.93,15.14,15.93,7.022956,0,-0.0031435,0.003651658,-0.006795158
9/1/1994,15.88,16.129999,15.71,15.88,7.000914,0,-0.003785663,0.003892415,-0.007678078
10/1/1994,15.83,15.85,15.5,15.82,6.974461,0,-0.039979477,0.003992021,-0.043971498
11/1/1994,15.73,15.77,14.97,15.2,6.701126,0,-0.013912063,0.004323971,-0.018236034
12/1/1994,15.08,15.36,14.65,14.99,6.608545,0,0.029111598,0.004755342,0.024356256
1/1/1995,14.86,15.15,14.81,14.84,6.803758,0,0.035741287,0.004722166,0.031019121
2/1/1995,14.88,15.43,14.88,15.38,7.051331,0,0.021229427,0.004987542,0.016241885
3/1/1995,15.39,15.71,15.31,15.71,7.202627,0,0.02203454,0.004937789,0.017096751
4/1/1995,15.74,16.059999,15.72,16.059999,7.363095,0,0.018507856,0.004888034,0.013619822
5/1/1995,16.049999,16.49,16.02,16.360001,7.500639,0,0.048324197,0.004879741,0.043444456
6/1/1995,16.43,17.17,16.43,17.17,7.872002,0,0.056608424,0.004829983,0.051778441
7/1/1995,17.190001,18.17,17.190001,18.17,8.330478,0,0.021236495,0.004655812,0.016580683
8/1/1995,18.110001,18.559999,18.030001,18.559999,8.50928,0,0.017094234,0.004655812,0.012438422
