Date,Open,High,Low,Close,Adj Close,Volume,Monthly Return,Monthly Risk Free Return,Equity Premium
5/1/1996,10,10.07,10,10.07,2.901459,0,0.014786099,-0.003956212,0.018742311
6/1/1996,10.07,10.22,10.06,10.22,2.944679,0,0.004909349,-0.046015401,0.05092475
7/1/1996,10.24,10.26,10.07,10.24,2.959171,0,0.037378312,0.016437658,0.020940654
8/1/1996,10.29,10.63,10.29,10.63,3.071873,0,0.013084811,0.046714414,-0.033629603
9/1/1996,10.65,10.82,10.63,10.77,3.112332,0,0.035002991,0.026197555,0.008805436
10/1/1996,10.81,11.05,10.81,11.05,3.223202,0,0.044254936,0.068638245,-0.024383309
11/1/1996,11.12,11.55,11.12,11.55,3.369048,0,0.088597708,-0.036033981,0.124631689
12/1/1996,11.61,12.62,11.61,12.62,3.68116,0,0.020139421,0.068046473,-0.047907052
1/1/1997,12.34,12.72,12.29,12.64,3.756048,0,-0.003169781,0.003530889,-0.00670067
2/1/1997,12.67,12.72,12.55,12.6,3.744161,0,-0.001588265,-0.050718635,0.04913037
3/1/1997,12.69,13.1,12.58,12.58,3.738219,0,-0.026076039,0.057699645,-0.083775684
4/1/1997,12.52,12.53,12.06,12.19,3.642001,0,0.029104977,0.054651213,-0.025546236
5/1/1997,12.26,12.55,12.26,12.55,3.749559,0,0.03522809,0.035938182,-0.000710092
6/1/1997,12.57,13.04,12.53,13,3.884003,0,0.043768225,0.075735838,-0.031967613
7/1/1997,13,13.39,13,13.37,4.057774,0,-0.007507582,-0.062089683,0.054582101
8/1/1997,13.39,13.51,13.19,13.27,4.027424,0,0.074753604,0.045829573,0.028924031
9/1/1997,13.3,14.3,13.3,14.3,4.340027,0,-0.014725542,-0.035406891,0.020681349
10/1/1997,14.34,14.58,13.64,13.9,4.276586,0,0.017118284,0.040751028,-0.023632744
11/1/1997,13.96,14.14,13.56,14.14,4.350424,0,0.001413805,0.00067626,0.000737545
12/1/1997,14.21,14.23,13.68,14.16,4.356579,0,0.007901303,0.018610021,-0.010708718
1/1/1998,14.13,14.15,13.89,13.98,4.391138,0,-0.0165893,0.064996821,-0.081586121
2/1/1998,13.98,14.08,13.7,13.75,4.318893,0,0.017303665,0.041632534,-0.024328869
3/1/1998,13.73,14,13.54,13.99,4.394276,0,-0.026211701,0.009414846,-0.035626547
4/1/1998,14.01,14.08,13.3,13.52,4.280591,0,-0.008915502,-0.021879275,0.012963773
5/1/1998,13.67,13.72,13.29,13.4,4.242597,0,-0.016554758,0.033187639,-0.049742397
6/1/1998,13.39,13.39,12.78,13.18,4.17294,0,-0.055219471,-0.012208471,-0.043011
7/1/1998,13.1,13.47,12.27,12.27,3.948759,0,-0.096614985,-0.160586057,0.063971072
8/1/1998,12.12,12.24,11.14,11.14,3.5851,0,0.040462799,0.055121993,-0.014659194
9/1/1998,11.16,12.22,10.64,11.6,3.733138,0,-0.000731824,0.077137362,-0.077869186
10/1/1998,11.36,11.39,10.29,11.39,3.730407,0,0.015679269,0.055308877,-0.039629608
11/1/1998,11.48,11.64,11.26,11.57,3.789358,0,-0.043273653,0.045500118,-0.088773771
12/1/1998,11.48,11.62,10.86,11.08,3.628876,0,0.000398667,0.044706861,-0.044308194
1/1/1999,11.21,11.29,10.81,10.81,3.630323,0,-0.015851117,-0.03546976,0.019618643
2/1/1999,10.84,10.93,10.57,10.64,3.573232,0,-0.016106711,0.029364183,-0.045470894
3/1/1999,10.67,10.67,10.24,10.47,3.51614,0,0.102871969,0.039983414,0.062888555
4/1/1999,10.42,11.47,10.33,11.47,3.897112,0,0.020707554,-0.027915015,0.048622569
5/1/1999,11.52,11.92,11.52,11.71,3.978653,0,-0.03298862,0.047164431,-0.080153051
6/1/1999,11.69,11.72,11.24,11.33,3.849544,0,-0.015385535,-0.032556696,0.017171161
7/1/1999,11.31,11.33,10.88,11,3.79077,0,-0.010050149,-0.008952735,-0.001097414
8/1/1999,10.95,10.95,10.69,10.89,3.752863,0,-0.062520288,-0.034683645,-0.027836643
9/1/1999,10.84,10.86,10.13,10.23,3.525417,0,-0.002262716,0.060156917,-0.062419633
10/1/1999,10.17,10.26,9.8,10,3.517449,0,-0.015114003,0.015969593,-0.031083596
11/1/1999,10.06,10.18,9.8,9.85,3.464686,0,0,0.046751881,-0.046751881
12/1/1999,9.86,9.86,9.38,9.85,3.464686,0,0.037477601,-0.048881179,0.08635878
1/1/2000,9.76,10.21,9.68,9.91,3.596998,0,-0.01525139,-0.023679273,0.008427883
2/1/2000,9.97,10.01,9.65,9.76,3.542555,0,0.0202843,0.086207779,-0.065923479
3/1/2000,9.71,10.03,9.62,9.96,3.615147,0,0.079160069,-0.033191745,0.112351814
4/1/2000,9.96,10.63,9.96,10.63,3.912954,0,0.010295016,-0.025482427,0.035777443
5/1/2000,10.81,10.97,10.67,10.74,3.953446,0,0.008344863,0.017397719,-0.009052856
6/1/2000,10.75,11.24,10.75,10.83,3.986575,0,0.100285091,-0.017389135,0.117674226
7/1/2000,11.1,11.78,11.1,11.78,4.407103,0,-0.040716318,0.055171427,-0.095887745
8/1/2000,11.98,11.98,11.27,11.31,4.231266,0,0.01230281,-0.061946643,0.074249453
9/1/2000,11.31,11.76,11.28,11.45,4.283644,0,-0.030704881,-0.007162281,-0.0235426
10/1/2000,11.24,11.24,10.67,10.92,4.154114,0,0.017249742,-0.08723038,0.104480122
11/1/2000,10.87,11.11,10.83,11.11,4.226393,0,0.039705252,-0.003331483,0.043036735
12/1/2000,11.14,11.8,11.14,11.56,4.397579,0,0.031076277,0.032815905,-0.001739628
1/1/2001,11.49,11.66,11.43,11.61,4.536385,0,-0.017376594,-0.100721753,0.083345159
2/1/2001,11.6,11.6,11.19,11.41,4.458239,0,-0.002632527,-0.072551037,0.06991851
3/1/2001,11.51,11.62,11.17,11.38,4.446518,0,0.033375046,0.073476054,-0.040101008
4/1/2001,11.4,11.64,11.13,11.64,4.597425,0,0.021249641,0.002901456,0.018348185
5/1/2001,11.67,12,11.53,11.89,4.696164,0,0.041998671,-0.030517782,0.072516453
6/1/2001,11.93,12.43,11.93,12.4,4.897597,0,-0.005786888,-0.010619219,0.004832331
7/1/2001,12.4,12.41,12.12,12.14,4.869337,0,0.034807555,-0.067831832,0.102639387
8/1/2001,12.21,12.93,12.21,12.57,5.041811,0,-0.058141609,-0.09090264,0.032761031
9/1/2001,12.55,12.55,11.17,11.86,4.757031,0,-0.015991919,0.019486433,-0.035478352
10/1/2001,11.85,11.96,11.31,11.46,4.681562,0,0.055994723,0.071752093,-0.01575737
11/1/2001,11.64,12.13,11.54,12.12,4.951183,0,0.000824312,0.003406093,-0.002581781
12/1/2001,12.05,12.4,12.05,12.13,4.955266,0,0.021188917,-0.012723065,0.033911982
1/1/2002,12.14,12.24,12.03,12.1,5.061383,0,0.019640553,-0.021000278,0.040640831
2/1/2002,12.12,12.38,12.05,12.34,5.161774,0,0.052103259,0.032549938,0.019553321
3/1/2002,12.47,13.08,12.47,13,5.437849,0,0.014580066,-0.061438992,0.076019058
4/1/2002,13.03,13.69,12.84,13.08,5.517714,0,0.012913849,-0.009063139,0.021976988
5/1/2002,13.19,13.32,12.84,13.25,5.589431,0,0.014981065,-0.078775003,0.093756068
6/1/2002,13.23,13.45,13.21,13.45,5.673797,0,-0.04140693,-0.078556718,0.037149788
7/1/2002,13.32,13.32,11.25,12.74,5.44366,0,0.001569035,0.005089331,-0.003520296
8/1/2002,12.52,12.76,12.11,12.76,5.452208,0,-0.052284519,-0.121124132,0.068839613
9/1/2002,12.63,12.69,12.11,12.11,5.174466,0,-0.034659098,0.087200539,-0.121859637
10/1/2002,12.08,12.08,10.94,11.51,4.998196,0,0.045017928,0.058433235,-0.013415307
11/1/2002,11.61,12.04,11.61,12.04,5.228346,0,-0.016750693,-0.069772987,0.053022294
12/1/2002,12.14,12.14,11.75,11.84,5.141497,0,-0.003868801,-0.022507725,0.018638924
1/1/2003,11.89,12.11,11.28,11.52,5.121644,0,0.017212238,-0.016318133,0.033530371
2/1/2003,11.46,11.72,11.33,11.72,5.210562,0,0.010187327,0.004782548,0.005404779
3/1/2003,11.73,12.22,11.48,11.84,5.263915,0,0.049723173,0.08204199,-0.032318817
4/1/2003,12.08,12.63,12.05,12.32,5.53227,0,0.053725474,0.050349808,0.003375666
5/1/2003,12.4,13.2,12.4,13,5.837623,0,0.009188468,0.008321521,0.000866947
6/1/2003,13.06,13.55,12.79,13.12,5.891509,0,0.063612884,0.019626821,0.043986063
7/1/2003,13.22,13.83,13.22,13.8,6.278462,0,0.006500645,0.018390761,-0.011890116
8/1/2003,13.74,13.89,13.58,13.89,6.319409,0,0.017838929,-0.015474094,0.033313023
9/1/2003,14.08,14.29,13.95,14.14,6.433152,0,0.031782123,0.057940914,-0.026158791
10/1/2003,14.26,14.71,14.18,14.37,6.640895,0,0.042240995,0.0078141,0.034426895
11/1/2003,14.56,14.99,14.54,14.99,6.927422,0,0.012595477,0.045446994,-0.032851517
12/1/2003,15.18,15.39,15.05,15.18,7.015228,0,0.059627201,0.021918416,0.037708785
