Date,Open,High,Low,Close,Adj Close,Volume,Monthly Return,Monthly Risk Free Return,Equity Premium
10/1/1990,10.46,11.85,10.46,11.47,3.85289,0,-0.053728471,0.006122883,-0.059851354
11/1/1990,11.32,11.56,10.83,10.87,3.651343,0,-0.078433682,0.006098036,-0.084531718
12/1/1990,10.85,11.52,9.91,10.05,3.375898,0,0.109597656,0.006015206,0.10358245
1/1/1991,10.05,10.34,9.45,10.34,3.766925,0,0.076316335,0.005509793,0.070806542
2/1/1991,10.34,11.23,10.34,11.16,4.065657,0,-0.056210156,0.005294294,-0.06150445
3/1/1991,10.99,11.31,10.53,10.55,3.84343,0,0.016917413,0.005169946,0.011747467
4/1/1991,10.68,11.07,10.55,10.73,3.909004,0,0.004648932,0.004921204,-0.000272272
5/1/1991,10.73,10.81,10.57,10.78,3.927219,0,-0.058250442,0.004722166,-0.062972608
6/1/1991,10.78,10.78,10.17,10.17,3.704992,0,0.039523616,0.004747048,0.034776568
7/1/1991,10.29,10.58,10.02,10.58,3.854359,0,-0.025850953,0.004747048,-0.030598001
8/1/1991,10.57,10.62,9.55,10.31,3.755997,0,0.03432145,0.004738754,0.029582696
9/1/1991,10.39,10.67,10.39,10.67,3.887146,0,-0.009416367,0.004564566,-0.013980933
10/1/1991,10.69,10.81,10.44,10.57,3.850715,0,-0.05343634,0.004373755,-0.057810095
11/1/1991,10.58,10.68,10.02,10.02,3.650348,0,0.018784489,0.004124815,0.014659674
12/1/1991,9.97,10.27,9.95,10.21,3.719566,0,0.033583686,0.003718079,0.029865607
1/1/1992,10.22,10.44,9.97,10.24,3.846604,0,-0.007843022,0.003294567,-0.011137589
2/1/1992,10.27,10.4,9.99,10.16,3.816553,0,-0.047364252,0.003277955,-0.050642207
3/1/1992,10.15,10.15,9.63,9.69,3.639999,0,0.029488659,0.003352707,0.026135952
4/1/1992,9.5,9.98,9.42,9.98,3.748936,0,0.058382604,0.003452367,0.054930237
5/1/1992,10.05,10.58,10.05,10.58,3.974324,0,-0.016198634,0.003153356,-0.01935199
6/1/1992,10.57,10.57,10.31,10.41,3.910464,0,-0.032213927,0.003153356,-0.035367283
7/1/1992,10.44,10.57,9.89,10.08,3.7865,0,0.005935079,0.00303705,0.002898029
8/1/1992,10.08,10.14,9.68,10.14,3.80904,0,-0.020927937,0.002704672,-0.023632609
9/1/1992,10.12,10.28,9.74,9.93,3.730153,0,-0.030676853,0.002688051,-0.033364904
10/1/1992,9.89,9.89,9.61,9.63,3.617461,0,-0.007295736,0.002289045,-0.009584781
11/1/1992,9.61,9.71,9.38,9.56,3.591165,0,-0.01581485,0.002521818,-0.018336668
12/1/1992,9.5,9.72,9.41,9.41,3.534818,0,0.0219331,0.002812707,0.019120393
1/1/1993,9.35,9.52,9.3,9.41,3.613204,0,0.018948075,0.002621561,0.016326514
2/1/1993,9.41,9.68,9.39,9.59,3.68232,0,0.055767306,0.002463629,0.053303677
3/1/1993,9.64,10.14,9.64,10.14,3.893507,0,0.067677013,0.002505193,0.06517182
4/1/1993,10.19,10.85,10.19,10.85,4.166129,0,0.01190994,0.002455317,0.009454623
