Date,Open,High,Low,Close,Adj Close,Volume,Monthly Return,Monthly Risk Free Return,Equity Premium
10/1/1990,9.17,9.21,9.09,9.2,2.10962,0,0.022318545,0.006122883,0.016195662
11/1/1990,9.23,9.34,9.22,9.34,2.157233,0,0.01446493,0.006098036,0.008366894
12/1/1990,9.36,9.48,9.36,9.41,2.188664,0,0.011295859,0.006015206,0.005280653
1/1/1991,9.46,9.48,9.36,9.45,2.213527,0,0.007968073,0.005509793,0.00245828
2/1/1991,9.51,9.56,9.46,9.46,2.231235,0,0.006780813,0.005294294,0.001486519
3/1/1991,9.43,9.47,9.37,9.46,2.246416,0,0.010075865,0.005169946,0.004905919
4/1/1991,9.45,9.51,9.43,9.49,2.269165,0,0.006780783,0.004921204,0.001859579
5/1/1991,9.5,9.52,9.44,9.49,2.284604,0,-0.000651091,0.004722166,-0.005373257
6/1/1991,9.46,9.46,9.37,9.42,2.283117,0,0.013187928,0.004747048,0.00844088
7/1/1991,9.41,9.48,9.38,9.48,2.313426,0,0.020408658,0.004747048,0.01566161
8/1/1991,9.47,9.65,9.47,9.61,2.361125,0,0.020091788,0.004738754,0.015353034
9/1/1991,9.62,9.74,9.61,9.74,2.409044,0,0.009681325,0.004564566,0.005116759
10/1/1991,9.74,9.77,9.67,9.77,2.43248,0,0.007497476,0.004373755,0.003123721
11/1/1991,9.77,9.81,9.74,9.78,2.450786,0,0.027713595,0.004124815,0.02358878
12/1/1991,9.8,9.99,9.8,9.99,2.519656,0,-0.012394446,0.003718079,-0.016112525
1/1/1992,9.96,9.99,9.78,9.78,2.488619,0,0.007594992,0.003294567,0.004300425
2/1/1992,9.76,9.82,9.7,9.78,2.507592,0,-0.004931601,0.003277955,-0.008209556
3/1/1992,9.73,9.73,9.61,9.67,2.495256,0,0.007362453,0.003352707,0.004009746
4/1/1992,9.71,9.78,9.67,9.68,2.513695,0,0.018433538,0.003452367,0.014981171
5/1/1992,9.7,9.85,9.7,9.8,2.560461,0,0.013174508,0.003153356,0.010021152
6/1/1992,9.77,9.87,9.77,9.87,2.594417,0,0.019081233,0.003153356,0.015927877
7/1/1992,9.88,10.05,9.88,10,2.644397,0,0.00990953,0.00303705,0.00687248
8/1/1992,10,10.1,10,10.04,2.670732,0,0.012741187,0.002704672,0.010036515
9/1/1992,10.06,10.16,10.04,10.11,2.704978,0,-0.0123163,0.002688051,-0.015004351
10/1/1992,10.15,10.15,9.92,9.93,2.671867,0,-0.008459755,0.002289045,-0.0107488
11/1/1992,9.9,9.93,9.79,9.79,2.649359,0,0.023231837,0.002521818,0.020710019
12/1/1992,9.79,9.9,9.79,9.88,2.711629,0,0.016654142,0.002812707,0.013841435
1/1/1993,9.91,9.99,9.87,9.99,2.757167,0,0.020545392,0.002621561,0.017923831
2/1/1993,10,10.15,9.98,10.13,2.8144,0,0.003766349,0.002463629,0.00130272
3/1/1993,10.16,10.22,10.08,10.11,2.82502,0,0.007624258,0.002505193,0.005119065
4/1/1993,10.1,10.2,10.07,10.13,2.846641,0,0.001477493,0.002455317,-0.000977824
5/1/1993,10.16,10.19,10.08,10.09,2.85085,0,0.018162625,0.002471942,0.015690683
6/1/1993,10.12,10.22,10.1,10.22,2.903102,0,0.006078073,0.002604938,0.003473135
7/1/1993,10.22,10.27,10.17,10.23,2.920801,0,0.016758603,0.002580002,0.014178601
8/1/1993,10.22,10.36,10.22,10.35,2.970162,0,0.004161807,0.002580002,0.001581805
9/1/1993,10.35,10.42,10.33,10.34,2.982549,0,0.00299897,0.002563378,0.000435592
10/1/1993,10.36,10.42,10.31,10.32,2.991507,0,-0.00959458,0.002480255,-0.012074835
11/1/1993,10.27,10.27,10.15,10.17,2.962942,0,-0.005961828,0.002580002,-0.00854183
