Date,Open,High,Low,Close,Adj Close,Volume,Monthly Return,Monthly Risk Free Return,Equity Premium
5/1/1994,10,11.05,9.88,11.05,5.200372,0,-0.044411128,0.003302873,-0.047714001
6/1/1994,11,11.09,10.47,10.57,4.974471,0,0.076470699,0.003585232,0.072885467
7/1/1994,10.52,11.41,10.52,11.41,5.369795,0,0.11729552,0.003543714,0.113751806
8/1/1994,11.59,12.85,11.59,12.83,6.038075,0,0.003113361,0.003651658,-0.000538297
9/1/1994,12.94,13.12,12.84,12.87,6.056903,0,-0.015662469,0.003892415,-0.019554884
10/1/1994,12.82,12.83,12.37,12.67,5.962776,0,-0.062698299,0.003992021,-0.06669032
11/1/1994,12.59,12.61,11.67,11.9,5.600399,0,-0.090531813,0.004323971,-0.094855784
12/1/1994,11.8,11.8,10.7,10.87,5.115658,0,-0.106286469,0.004755342,-0.111041811
1/1/1995,10.59,10.59,9.46,9.71,4.599831,0,0.004110604,0.004722166,-0.000611562
2/1/1995,9.79,10.21,9.49,9.75,4.618778,0,-0.010309352,0.004987542,-0.015296894
3/1/1995,9.72,9.72,8.86,9.65,4.571406,0,0.050515912,0.004937789,0.045578123
4/1/1995,9.53,10.2,9.53,10.15,4.808267,0,0.074037154,0.004888034,0.06914912
5/1/1995,10.11,11.09,10.11,10.93,5.177767,0,-0.00550436,0.004879741,-0.010384101
6/1/1995,11.14,11.37,10.87,10.87,5.149345,0,0.028120249,0.004829983,0.023290266
7/1/1995,10.85,11.58,10.85,11.18,5.296201,0,-0.024447118,0.004655812,-0.02910293
8/1/1995,11.14,11.32,10.87,10.91,5.168294,0,0.001831229,0.004655812,-0.002824583
9/1/1995,10.93,11.17,10.82,10.93,5.177767,0,-0.043952699,0.004531384,-0.048484083
10/1/1995,10.79,10.9,10.41,10.46,4.955119,0,0.003816632,0.004489905,-0.000673273
11/1/1995,10.36,10.5,9.81,10.5,4.974067,0,0.022600429,0.004556271,0.018044158
12/1/1995,10.6,10.97,10.56,10.74,5.087763,0,0.114942679,0.004556271,0.110386408
1/1/1996,10.85,11.85,10.85,11.85,5.707499,0,-0.016164285,0.004240994,-0.020405279
2/1/1996,11.94,12.13,11.66,11.66,5.615983,0,0.014475079,0.004199503,0.010275576
3/1/1996,11.8,11.95,11.27,11.83,5.697866,0,0.026690397,0.004174608,0.022515789
4/1/1996,11.87,12.19,11.84,12.15,5.851992,0,0.014706454,0.004265888,0.010440566
5/1/1996,12.16,12.33,12.02,12.33,5.93869,0,0,0.004274186,-0.004274186
6/1/1996,12.25,12.33,12.08,12.33,5.93869,0,-0.069688854,0.004307377,-0.073996231
7/1/1996,12.33,12.4,11.49,11.5,5.538921,0,0.030824479,0.004307377,0.026517102
8/1/1996,11.69,11.94,11.69,11.86,5.712314,0,0.022510629,0.004423535,0.018087094
9/1/1996,11.74,12.15,11.74,12.13,5.84236,0,-0.014950759,0.004398645,-0.019349404
10/1/1996,12.18,12.28,11.88,11.95,5.755662,0,0.034543235,0.004274186,0.030269049
11/1/1996,11.99,12.47,11.99,12.37,5.957955,0,-0.007302078,0.004299079,-0.011601157
12/1/1996,12.38,12.49,12.02,12.28,5.914608,0,0.063112823,0.004265888,0.058846935
1/1/1997,12.2,12.99,12.2,12.91,6.299927,0,0.029761772,0.004332269,0.025429503
2/1/1997,12.97,13.53,12.97,13.3,6.490242,0,-0.032088313,0.004282484,-0.036370797
3/1/1997,13.23,13.29,12.88,12.88,6.285287,0,-0.016438806,0.004340566,-0.020779372
4/1/1997,12.74,12.84,12.53,12.67,6.182809,0,0.044005679,0.004448424,0.039557255
5/1/1997,12.69,13.24,12.69,13.24,6.460963,0,0.038523009,0.004390348,0.034132661
6/1/1997,13.38,13.79,13.34,13.76,6.714715,0,0.015146417,0.004124815,0.011021602
7/1/1997,13.89,14.06,13.4,13.97,6.817193,0,-0.163740646,0.004365458,-0.168106104
8/1/1997,13.82,13.86,11.86,11.86,5.787539,0,0.050955373,0.004365458,0.046589915
9/1/1997,11.83,12.75,11.83,12.48,6.090088,0,-0.199780282,0.00435716,-0.204137442
10/1/1997,12.44,12.66,10.03,10.22,4.987238,0,-0.013793459,0.004207801,-0.01800126
11/1/1997,10.8,10.86,9.8,10.08,4.918919,0,-0.008969097,0.004332269,-0.013301366
12/1/1997,10.14,10.58,9.73,9.99,4.874998,0,-0.060954086,0.004340566,-0.065294652
1/1/1998,9.96,9.96,8.34,9.18,4.586722,0,0.112200252,0.004456721,0.107743531
2/1/1998,9.64,10.27,9.64,10.27,5.131335,0,0.035393091,0.004315674,0.031077417
3/1/1998,10.36,10.76,9.94,10.64,5.316201,0,-0.01039164,0.004423535,-0.014815175
4/1/1998,10.57,10.76,10.32,10.53,5.261243,0,-0.133938685,0.004290781,-0.138229466
5/1/1998,10.58,10.58,9.16,9.21,4.601713,0,-0.098028294,0.00415801,-0.102186304
6/1/1998,8.92,9.15,8.03,8.35,4.17202,0,0.017804515,0.004182906,0.013621609
7/1/1998,8.49,8.98,8.41,8.5,4.246966,0,-0.302696313,0.004240994,-0.306937307
8/1/1998,8.32,8.32,6.28,6.28,3.137758,0,0.089794602,0.004240994,0.085553608
9/1/1998,6.31,7.06,6.21,6.87,3.432549,0,0.143488469,0.004124815,0.139363654
10/1/1998,6.58,7.93,6.49,7.93,3.962169,0,0.06114433,0.003635052,0.057509278
11/1/1998,8.05,8.62,7.93,8.43,4.211993,0,-0.063670125,0.003601839,-0.067271964
12/1/1998,8.26,8.29,7.83,7.91,3.952174,0,0.002914396,0.0038011,-0.000886704
1/1/1999,7.94,8.27,7.43,7.68,3.963709,0,0.021893898,0.003726382,0.018167516
2/1/1999,7.9,7.95,7.67,7.85,4.051447,0,0.110822774,0.003726382,0.107096392
3/1/1999,7.84,8.77,7.79,8.77,4.526264,0,0.143177372,0.003875813,0.139301559
4/1/1999,8.77,10.12,8.77,10.12,5.223012,0,-0.042387914,0.003734684,-0.046122598
5/1/1999,10.25,10.67,9.7,9.7,5.006246,0,0.076388503,0.003784496,0.072604007
6/1/1999,9.86,10.69,9.83,10.47,5.403651,0,-0.034989972,0.003875813,-0.038865785
7/1/1999,10.61,10.81,10.1,10.11,5.217847,0,-0.009939714,0.003975421,-0.013915135
8/1/1999,9.99,10.26,9.76,10.01,5.16624,0,-0.005008029,0.00395052,-0.008958549
9/1/1999,10.11,10.33,9.8,9.96,5.140432,0,0.037443378,0.004141413,0.033301965
10/1/1999,9.96,10.36,9.72,10.34,5.336556,0,0.078106311,0.00405842,0.074047891
11/1/1999,10.42,11.24,10.42,11.18,5.770085,0,0.111602134,0.00425759,0.107344544
12/1/1999,11.28,12.5,11.28,12.5,6.451347,0,-0.027834831,0.004406942,-0.032241773
1/1/2000,12.66,12.97,11.89,11.89,6.274251,0,0.034714168,0.004431832,0.030282336
2/1/2000,12.05,12.89,12.05,12.31,6.495881,0,-0.009795846,0.004788517,-0.014584363
3/1/2000,12.47,12.91,12.19,12.19,6.432559,0,-0.077585162,0.004805104,-0.082390266
4/1/2000,12.01,12.21,10.72,11.28,5.952357,0,-0.05465846,0.004888034,-0.059546494
5/1/2000,11.28,11.34,10.15,10.68,5.635742,0,0.059963767,0.004838277,0.05512549
6/1/2000,10.89,11.35,10.89,11.34,5.98402,0,-0.05250057,0.004680695,-0.057181265
7/1/2000,11.6,11.66,10.7,10.76,5.67796,0,0.015675306,0.004888034,0.010787272
8/1/2000,10.8,11.09,10.67,10.93,5.767665,0,-0.064233592,0.005211397,-0.069444989
9/1/2000,11.02,11.02,9.95,10.25,5.408835,0,-0.079148368,0.005244557,-0.084392925
10/1/2000,10.15,10.15,9.15,9.47,4.997238,0,-0.104539555,0.005178236,-0.109717791
11/1/2000,9.67,9.77,8.53,8.53,4.501208,0,0.035697226,0.005302583,0.030394643
12/1/2000,8.57,9.34,8.56,8.84,4.664791,0,0.134634906,0.005161656,0.12947325
1/1/2001,8.82,9.88,8.82,9.88,5.337076,0,-0.091068527,0.004896327,-0.095964854
2/1/2001,9.86,9.86,9.02,9.02,4.872511,0,-0.111291264,0.004149711,-0.115440975
3/1/2001,9.09,9.24,8.04,8.07,4.359329,0,0.088868577,0.004033521,0.084835056
4/1/2001,7.95,8.82,7.74,8.82,4.764472,0,0.015748245,0.003576928,0.012171317
5/1/2001,8.86,9.2,8.62,8.96,4.840098,0,-0.022574343,0.003286261,-0.025860604
6/1/2001,8.91,9.02,8.58,8.76,4.73206,0,-0.069727041,0.003020434,-0.072747475
7/1/2001,8.8,8.8,8.02,8.17,4.413348,0,-0.00984037,0.00303705,-0.01287742
8/1/2001,8.25,8.36,8.06,8.09,4.370132,0,-0.169303893,0.002945657,-0.17224955
9/1/2001,8.04,8.04,6.64,6.83,3.689494,0,0.063806378,0.002804397,0.061001981
10/1/2001,6.8,7.4,6.77,7.28,3.93258,0,0.089298161,0.001998003,0.087300158
11/1/2001,7.32,8.23,7.32,7.96,4.299909,0,0.050225167,0.001706876,0.048518291
12/1/2001,8.07,8.58,8.07,8.37,4.521388,0,0.052751506,0.001482234,0.051269272
1/1/2002,8.52,8.88,8.38,8.61,4.766301,0,0.026362397,0.00144895,0.024913447
