Date,Open,High,Low,Close,Adj Close,Volume,Monthly Total Return,Monthly Risk Free Return,Monthly Equity Premium
10/1/1990,8.79,9.6,8.79,9.27,3.787272,0,0.008592933,0.006122883,0.00247005
11/1/1990,9.23,9.59,9.19,9.35,3.819956,0,-0.031507515,0.006098036,-0.037605551
12/1/1990,9.36,9.78,8.91,9.06,3.701475,0,0.042845484,0.006015206,0.036830278
1/1/1991,9.01,9.31,8.46,9.31,3.863513,0,0.074491413,0.005509793,0.06898162
2/1/1991,9.35,10.06,9.35,10.03,4.162302,0,-0.07020401,0.005294294,-0.075498304
3/1/1991,9.91,10.25,9.29,9.35,3.880113,0,0.009579463,0.005169946,0.004409517
4/1/1991,9.49,9.89,9.2,9.44,3.917461,0,0.014721627,0.004921204,0.009800423
5/1/1991,9.44,9.6,9.32,9.58,3.975559,0,-0.083790243,0.004722166,-0.088512409
6/1/1991,9.5,9.55,8.81,8.81,3.65602,0,0.069068616,0.004747048,0.064321568
7/1/1991,8.88,9.49,8.76,9.44,3.917461,0,0.017848118,0.004747048,0.01310107
8/1/1991,9.44,9.65,8.72,9.61,3.988008,0,0.031748839,0.004738754,0.027010085
9/1/1991,9.67,9.92,9.67,9.92,4.116654,0,-0.021396662,0.004564566,-0.025961228
10/1/1991,9.94,9.98,9.46,9.71,4.029507,0,-0.026083818,0.004373755,-0.030457573
11/1/1991,9.75,9.99,9.46,9.46,3.925761,0,0.04748048,0.004124815,0.043355665
12/1/1991,9.48,9.96,9.47,9.92,4.116654,0,0.027458178,0.003718079,0.023740099
1/1/1992,9.95,10.05,9.74,9.93,4.231256,0,0.005022984,0.003294567,0.001728417
2/1/1992,9.96,10.17,9.75,9.98,4.252563,0,-0.037778586,0.003277955,-0.041056541
3/1/1992,9.98,9.98,9.5,9.61,4.094904,0,0.057620806,0.003352707,0.054268099
4/1/1992,9.47,10.21,9.47,10.18,4.337786,0,0.053550113,0.003452367,0.050097746
5/1/1992,10.24,10.77,10.24,10.74,4.576407,0,-0.008415466,0.003153356,-0.011568822
6/1/1992,10.77,10.77,10.48,10.65,4.538056,0,-0.037306976,0.003153356,-0.040460332
7/1/1992,10.62,10.76,10.07,10.26,4.371874,0,0,0.00303705,-0.00303705
8/1/1992,10.3,10.32,9.98,10.26,4.371874,0,-0.015717329,0.002704672,-0.018422001
9/1/1992,10.24,10.51,9.8,10.1,4.303697,0,-0.071826226,0.002688051,-0.074514277
10/1/1992,10.05,10.05,9.39,9.4,4.005419,0,-0.004263562,0.002289045,-0.006552607
11/1/1992,9.3,9.46,9.22,9.36,3.988378,0,-0.003210964,0.002521818,-0.005732782
12/1/1992,9.42,9.74,9.3,9.33,3.975592,0,0.027370068,0.002812707,0.024557361
1/1/1993,9.24,9.6,9.19,9.33,4.085907,0,0.008538043,0.002621561,0.005916482
2/1/1993,9.28,9.5,9.23,9.41,4.120942,0,0.049751549,0.002463629,0.04728792
3/1/1993,9.55,9.89,9.53,9.89,4.331151,0,0.021011099,0.002505193,0.018505906
4/1/1993,9.92,10.25,9.82,10.1,4.423116,0,0.015717379,0.002455317,0.013262062
5/1/1993,10.14,10.26,9.97,10.26,4.493185,0,-0.013739285,0.002471942,-0.016211227
6/1/1993,10.24,10.24,9.87,10.12,4.431874,0,0.003944713,0.002604938,0.001339775
7/1/1993,10.09,10.21,9.96,10.16,4.449391,0,0.083972059,0.002580002,0.081392057
8/1/1993,10.23,11.06,10.23,11.05,4.839151,0,-0.001811461,0.002580002,-0.004391463
9/1/1993,11.05,11.21,10.86,11.03,4.830393,0,0.036496907,0.002563378,0.033933529
10/1/1993,11.05,11.51,11.05,11.44,5.009944,0,-0.022094843,0.002480255,-0.024575098
11/1/1993,11.34,11.4,10.94,11.19,4.900464,0,0.059835526,0.002580002,0.057255524
12/1/1993,11.31,12.26,11.31,11.88,5.202636,0,0.060046693,0.002671429,0.057375264
1/1/1994,11.95,12.44,11.86,12.44,5.524607,0,-0.036844098,0.002555066,-0.039399164
2/1/1994,12.5,12.54,11.82,11.99,5.324762,0,-0.033067464,0.002538442,-0.035605906
3/1/1994,11.85,12.12,11.56,11.6,5.151565,0,0.050503708,0.002887494,0.047616214
4/1/1994,11.48,12.17,11.48,12.17,5.41842,0,-0.041952883,0.002962275,-0.044915158
5/1/1994,12.15,12.15,11.67,11.67,5.195804,0,-0.011201881,0.003302873,-0.014504754
6/1/1994,11.58,11.73,11.39,11.54,5.137926,0,0.051509759,0.003585232,0.047924527
7/1/1994,11.5,12.2,11.5,12.15,5.409514,0,0.029199173,0.003543714,0.025655459
8/1/1994,12.27,12.55,12.19,12.51,5.569796,0,-0.041621857,0.003651658,-0.045273515
9/1/1994,12.43,12.52,12,12,5.342729,0,0.040021776,0.003892415,0.036129361
10/1/1994,11.87,12.56,11.79,12.49,5.560891,0,-0.039188467,0.003992021,-0.043180488
11/1/1994,12.53,12.53,11.91,12.01,5.347183,0,-0.021035906,0.004323971,-0.025359877
12/1/1994,11.97,12,11.64,11.76,5.235875,0,0.020202409,0.004755342,0.015447067
1/1/1995,11.71,11.86,11.61,11.69,5.342728,0,0.019483917,0.004722166,0.014761751
2/1/1995,11.72,12.06,11.72,11.92,5.447846,0,0.038672562,0.004987542,0.03368502
3/1/1995,12.04,12.39,11.85,12.39,5.662655,0,0.041112367,0.004937789,0.036174578
4/1/1995,12.46,12.96,12.46,12.91,5.900312,0,0.025240462,0.004888034,0.020352428
5/1/1995,12.92,13.36,12.82,13.24,6.051134,0,0.012012077,0.004879741,0.007132336
6/1/1995,13.29,13.7,13.29,13.4,6.124259,0,0.050919939,0.004829983,0.046089956
7/1/1995,13.47,14.15,13.47,14.1,6.444182,0,-0.040526507,0.004655812,-0.045182319
8/1/1995,14.09,14.19,13.51,13.54,6.188243,0,0.029830924,0.004655812,0.025175112
9/1/1995,13.61,14.1,13.61,13.95,6.375625,0,-0.005751002,0.004531384,-0.010282386
10/1/1995,13.95,13.95,13.64,13.87,6.339064,0,0.005751002,0.004489905,0.001261097
11/1/1995,13.83,14.14,13.8,13.95,6.375625,0,0.005005938,0.004556271,0.000449667
12/1/1995,14,14.26,13.88,14.02,6.407621,0,0.031259269,0.004556271,0.026702998
1/1/1996,14.12,14.26,13.84,14.1,6.611082,0,0.016877732,0.004240994,0.012636738
