DATE,DGS3MO,Monthly Risk Free Return
9/1/1990,7.37,
10/1/1990,7.34,0.006122883
11/1/1990,7.24,0.006098036
12/1/1990,6.63,0.006015206
1/1/1991,6.37,0.005509793
2/1/1991,6.22,0.005294294
3/1/1991,5.92,0.005169946
4/1/1991,5.68,0.004921204
5/1/1991,5.71,0.004722166
6/1/1991,5.71,0.004747048
7/1/1991,5.7,0.004747048
8/1/1991,5.49,0.004738754
9/1/1991,5.26,0.004564566
10/1/1991,4.96,0.004373755
11/1/1991,4.47,0.004124815
12/1/1991,3.96,0.003718079
1/1/1992,3.94,0.003294567
2/1/1992,4.03,0.003277955
3/1/1992,4.15,0.003352707
4/1/1992,3.79,0.003452367
5/1/1992,3.79,0.003153356
6/1/1992,3.65,0.003153356
7/1/1992,3.25,0.00303705
8/1/1992,3.23,0.002704672
9/1/1992,2.75,0.002688051
10/1/1992,3.03,0.002289045
11/1/1992,3.38,0.002521818
12/1/1992,3.15,0.002812707
1/1/1993,2.96,0.002621561
2/1/1993,3.01,0.002463629
3/1/1993,2.95,0.002505193
4/1/1993,2.97,0.002455317
5/1/1993,3.13,0.002471942
6/1/1993,3.1,0.002604938
7/1/1993,3.1,0.002580002
8/1/1993,3.08,0.002580002
9/1/1993,2.98,0.002563378
10/1/1993,3.1,0.002480255
11/1/1993,3.21,0.002580002
12/1/1993,3.07,0.002671429
1/1/1994,3.05,0.002555066
2/1/1994,3.47,0.002538442
3/1/1994,3.56,0.002887494
4/1/1994,3.97,0.002962275
5/1/1994,4.31,0.003302873
6/1/1994,4.26,0.003585232
7/1/1994,4.39,0.003543714
8/1/1994,4.68,0.003651658
9/1/1994,4.8,0.003892415
10/1/1994,5.2,0.003992021
11/1/1994,5.72,0.004323971
12/1/1994,5.68,0.004755342
1/1/1995,6,0.004722166
2/1/1995,5.94,0.004987542
3/1/1995,5.88,0.004937789
4/1/1995,5.87,0.004888034
5/1/1995,5.81,0.004879741
6/1/1995,5.6,0.004829983
7/1/1995,5.6,0.004655812
8/1/1995,5.45,0.004655812
9/1/1995,5.4,0.004531384
10/1/1995,5.48,0.004489905
11/1/1995,5.48,0.004556271
12/1/1995,5.1,0.004556271
1/1/1996,5.05,0.004240994
2/1/1996,5.02,0.004199503
3/1/1996,5.13,0.004174608
4/1/1996,5.14,0.004265888
5/1/1996,5.18,0.004274186
6/1/1996,5.18,0.004307377
7/1/1996,5.32,0.004307377
8/1/1996,5.29,0.004423535
9/1/1996,5.14,0.004398645
10/1/1996,5.17,0.004274186
11/1/1996,5.13,0.004299079
12/1/1996,5.21,0.004265888
1/1/1997,5.15,0.004332269
2/1/1997,5.22,0.004282484
3/1/1997,5.35,0.004340566
4/1/1997,5.28,0.004448424
5/1/1997,4.96,0.004390348
6/1/1997,5.25,0.004124815
7/1/1997,5.25,0.004365458
8/1/1997,5.24,0.004365458
9/1/1997,5.06,0.00435716
10/1/1997,5.21,0.004207801
11/1/1997,5.22,0.004332269
12/1/1997,5.36,0.004340566
1/1/1998,5.19,0.004456721
2/1/1998,5.32,0.004315674
3/1/1998,5.16,0.004423535
4/1/1998,5,0.004290781
5/1/1998,5.03,0.00415801
6/1/1998,5.1,0.004182906
7/1/1998,5.1,0.004240994
8/1/1998,4.96,0.004240994
9/1/1998,4.37,0.004124815
10/1/1998,4.33,0.003635052
11/1/1998,4.57,0.003601839
12/1/1998,4.48,0.0038011
1/1/1999,4.48,0.003726382
2/1/1999,4.66,0.003726382
3/1/1999,4.49,0.003875813
4/1/1999,4.55,0.003734684
5/1/1999,4.66,0.003784496
