Date,Open,High,Low,Close,Adj Close,Volume,Monthly Total Return ,Monthly Risk Free Return,Equity Premium
10/1/1992,10,10,10,10,6.961863,0,0.024693093,0.002289045,0.022404048
11/1/1992,10,10.25,9.81,10.25,7.135913,0,0.000975153,0.002521818,-0.001546665
12/1/1992,10.24,10.51,10.22,10.26,7.142875,0,-0.005995643,0.002812707,-0.00880835
1/1/1993,10.23,10.24,10.04,10.14,7.100177,0,-0.007920383,0.002621561,-0.010541944
2/1/1993,10.22,10.31,9.76,10.06,7.044163,0,0.008906351,0.002463629,0.006442722
3/1/1993,10.03,10.4,10.01,10.15,7.107181,0,-0.042458821,0.002505193,-0.044964014
4/1/1993,10.1,10.1,9.52,9.68,6.811735,0,0.035517699,0.002455317,0.033062382
5/1/1993,9.76,10.14,9.69,10.03,7.05802,0,-0.014055633,0.002471942,-0.016527575
6/1/1993,10.11,10.11,9.75,9.89,6.959509,0,-0.016357331,0.002604938,-0.018962269
7/1/1993,9.83,9.89,9.65,9.68,6.846596,0,0.035517779,0.002580002,0.032937777
8/1/1993,9.73,10.03,9.66,10.03,7.094142,0,-0.020140882,0.002580002,-0.022720884
9/1/1993,10.02,10.02,9.74,9.83,6.952689,0,0.041114621,0.002563378,0.038551243
10/1/1993,9.86,10.23,9.85,10.19,7.244504,0,0,0.002480255,-0.002480255
11/1/1993,10.21,10.32,9.98,10.19,7.244504,0,0.000980539,0.002580002,-0.001599463
12/1/1993,10.18,10.31,10.12,10.2,7.251611,0,0.026215853,0.002671429,0.023544424
1/1/1994,10.18,10.41,10.18,10.41,7.444232,0,-0.017441932,0.002555066,-0.019996998
2/1/1994,10.38,10.44,10.15,10.23,7.315516,0,-0.053199094,0.002538442,-0.055737536
3/1/1994,10.17,10.27,9.68,9.7,6.936508,0,0.010050944,0.002887494,0.00716345
4/1/1994,9.55,9.77,9.46,9.75,7.006578,0,0.01526726,0.002962275,0.012304985
5/1/1994,9.82,9.92,9.55,9.9,7.11437,0,-0.026613931,0.003302873,-0.029916804
6/1/1994,9.92,10.01,9.59,9.64,6.927526,0,0.036761626,0.003585232,0.033176394
7/1/1994,9.69,9.95,9.69,9.95,7.186932,0,0.051895929,0.003543714,0.048352215
8/1/1994,9.98,10.49,9.92,10.48,7.569752,0,-0.019268161,0.003651658,-0.022919819
9/1/1994,10.43,10.55,10.19,10.28,7.425293,0,0.027934614,0.003892415,0.024042199
10/1/1994,10.27,10.55,10.05,10.52,7.63564,0,-0.033835936,0.003992021,-0.037827957
11/1/1994,10.48,10.53,10.1,10.17,7.381603,0,0.010758003,0.004323971,0.006434032
12/1/1994,10.07,10.41,9.97,10.28,7.461443,0,0.030757871,0.004755342,0.026002529
1/1/1995,10.25,10.54,10.23,10.54,7.694507,0,0.037248172,0.004722166,0.032526006
2/1/1995,10.53,10.95,10.53,10.94,7.986518,0,0.026163041,0.004987542,0.021175499
3/1/1995,10.94,11.4,10.93,11.23,8.198227,0,0.030789922,0.004937789,0.025852133
4/1/1995,11.28,11.53,11.28,11.53,8.454576,0,0.034942261,0.004888034,0.030054227
5/1/1995,11.49,11.94,11.49,11.94,8.75522,0,0.032951557,0.004879741,0.028071816
6/1/1995,11.95,12.5,11.89,12.34,9.048524,0,0.035954018,0.004829983,0.031124035
7/1/1995,12.4,12.83,12.39,12.74,9.379774,0,-0.00314446,0.004655812,-0.007800272
8/1/1995,12.69,12.72,12.59,12.7,9.350326,0,0.043903926,0.004655812,0.039248114
9/1/1995,12.67,13.34,12.67,13.27,9.769987,0,0.012018901,0.004531384,0.007487517
