Date,Open,High,Low,Close,Adj Close,Volume,Monthly Return,Monthly Risk Free Return,Equity Premium
10/1/1990,9.18,9.25,8.97,9.21,1.43995,0,0.04556694,0.006122883,0.039444057
11/1/1990,9.29,9.57,9.26,9.57,1.507082,0,0.020251622,0.006098036,0.014153586
12/1/1990,9.61,9.89,9.61,9.7,1.537914,0,0.011082033,0.006015206,0.005066827
1/1/1991,9.81,9.85,9.52,9.74,1.555052,0,0.005683307,0.005509793,0.000173514
2/1/1991,9.86,9.96,9.73,9.73,1.563915,0,0.001945144,0.005294294,-0.00334915
3/1/1991,9.65,9.72,9.53,9.69,1.56696,0,0.013124427,0.005169946,0.007954481
4/1/1991,9.68,9.83,9.64,9.75,1.587661,0,-0.001626354,0.004921204,-0.006547558
5/1/1991,9.77,9.81,9.59,9.67,1.585081,0,-0.007764052,0.004722166,-0.012486218
6/1/1991,9.59,9.6,9.43,9.53,1.572822,0,0.015142067,0.004747048,0.010395019
7/1/1991,9.52,9.61,9.43,9.61,1.596819,0,0.03462185,0.004747048,0.029874802
8/1/1991,9.58,9.94,9.58,9.88,1.653072,0,0.029572804,0.004738754,0.02483405
9/1/1991,9.89,10.11,9.85,10.11,1.702688,0,-0.000890166,0.004564566,-0.005454732
10/1/1991,10.12,10.14,9.87,10.04,1.701173,0,0.000188088,0.004373755,-0.004185667
11/1/1991,10.02,10.14,9.93,9.98,1.701493,0,0.06084513,0.004124815,0.056720315
12/1/1991,10,10.54,10,10.54,1.808235,0,-0.031489363,0.003718079,-0.035207442
1/1/1992,10.47,10.56,10.13,10.15,1.752182,0,-0.006749769,0.003294567,-0.010044336
2/1/1992,10.1,10.17,9.97,10.02,1.740395,0,0.001413622,0.003277955,-0.001864333
3/1/1992,9.92,9.95,9.77,9.85,1.742857,0,-0.001033895,0.003352707,-0.004386602
4/1/1992,9.91,9.99,9.75,9.78,1.741056,0,0.026705958,0.003452367,0.023253591
5/1/1992,9.82,10.06,9.8,9.98,1.788179,0,0.011457013,0.003153356,0.008303657
6/1/1992,9.92,10.05,9.92,10.03,1.808784,0,0.038559,0.003153356,0.035405644
7/1/1992,10.07,10.43,10.07,10.36,1.879891,0,0.008010847,0.00303705,0.004973797
8/1/1992,10.37,10.53,10.32,10.38,1.895011,0,0.013771151,0.002704672,0.011066479
9/1/1992,10.42,10.63,10.35,10.46,1.921288,0,-0.01933273,0.002688051,-0.022020781
10/1/1992,10.55,10.55,10.18,10.2,1.884501,0,0.005196871,0.002289045,0.002907826
11/1/1992,10.17,10.29,10.1,10.19,1.89432,0,-0.030988003,0.002521818,-0.033509821
12/1/1992,10.21,10.37,9.75,9.82,1.836519,0,0.088608686,0.002812707,0.085795979
1/1/1993,9.89,10.04,9.74,10.04,2.006678,0,0.029634595,0.002621561,0.027013034
2/1/1993,10.04,10.36,9.99,10.28,2.067035,0,0.004110965,0.002463629,0.001647336
3/1/1993,10.36,10.48,10.21,10.24,2.07555,0,0.007822185,0.002505193,0.005316992
4/1/1993,10.2,10.48,10.12,10.26,2.091849,0,0.003684674,0.002455317,0.001229357
5/1/1993,10.35,10.42,10.19,10.24,2.099571,0,0.04123885,0.002471942,0.038766908
6/1/1993,10.35,10.61,10.3,10.61,2.187965,0,0.013834612,0.002604938,0.011229674
7/1/1993,10.6,10.76,10.56,10.7,2.218445,0,0.039430557,0.002580002,0.036850555
8/1/1993,10.7,11.08,10.7,11.07,2.307667,0,0.003357926,0.002580002,0.000777924
9/1/1993,11.07,11.29,10.95,11.05,2.315429,0,0.005968517,0.002563378,0.003405139
10/1/1993,11.11,11.34,11.05,11.06,2.32929,0,-0.025039892,0.002480255,-0.027520147
11/1/1993,10.96,10.96,10.64,10.73,2.271689,0,-0.009824085,0.002580002,-0.012404087
12/1/1993,10.76,10.92,10.57,10.57,2.249481,0,0.03619397,0.002671429,0.033522541
1/1/1994,10.5,10.77,10.5,10.75,2.33239,0,-0.040465396,0.002555066,-0.043020462
2/1/1994,10.67,10.69,10.21,10.27,2.239893,0,-0.043880328,0.002538442,-0.04641877
3/1/1994,10.16,10.16,9.78,9.78,2.143731,0,-0.008649386,0.002887494,-0.01153688
4/1/1994,9.49,9.78,9.49,9.6,2.125269,0,-0.004854445,0.002962275,-0.00781672
5/1/1994,9.6,9.68,9.35,9.5,2.114977,0,-0.007996036,0.003302873,-0.011298909
6/1/1994,9.54,9.71,9.37,9.37,2.098133,0,0.028832516,0.003585232,0.025247284
7/1/1994,9.38,9.59,9.28,9.59,2.159508,0,-0.006755318,0.003543714,-0.010299032
8/1/1994,9.59,9.61,9.37,9.47,2.144969,0,-0.030626926,0.003651658,-0.034278584
9/1/1994,9.47,9.47,9.11,9.13,2.080271,0,-0.003740153,0.003892415,-0.007632568
10/1/1994,9.09,9.14,8.95,9.04,2.072505,0,0.006436643,0.003992021,0.002444622
11/1/1994,8.95,9.09,8.87,9.04,2.085888,0,0.007354398,0.004323971,0.003030427
12/1/1994,9.02,9.24,9.02,9.05,2.101285,0,0.03466901,0.004755342,0.029913668
1/1/1995,9.01,9.23,9.01,9.23,2.175412,0,0.027665455,0.004722166,0.022943289
2/1/1995,9.17,9.43,9.17,9.43,2.236436,0,0.006606976,0.004987542,0.001619434
3/1/1995,9.42,9.53,9.25,9.44,2.251261,0,0.016694871,0.004937789,0.011757082
4/1/1995,9.5,9.57,9.48,9.54,2.289161,0,0.072775249,0.004888034,0.067887215
5/1/1995,9.53,10.2,9.53,10.2,2.461967,0,0.011567438,0.004879741,0.006687697
6/1/1995,10.26,10.42,10.12,10.26,2.490611,0,-0.014300287,0.004829983,-0.01913027
7/1/1995,10.26,10.41,9.94,10.06,2.455248,0,0.020505572,0.004655812,0.01584976
8/1/1995,10,10.21,9.88,10.21,2.506114,0,0.018273321,0.004655812,0.013617509
9/1/1995,10.27,10.38,10.23,10.34,2.55233,0,0.029280739,0.004531384,0.024749355
10/1/1995,10.36,10.61,10.36,10.59,2.628169,0,0.023193935,0.004489905,0.01870403
11/1/1995,10.63,10.78,10.58,10.78,2.689839,0,0.006085528,0.004556271,0.001529257
12/1/1995,10.82,10.96,10.72,10.79,2.706258,0,0.020396875,0.004556271,0.015840604
1/1/1996,10.77,10.79,10.55,10.73,2.762024,0,-0.050508823,0.004240994,-0.054749817
2/1/1996,10.67,10.67,10.15,10.15,2.625982,0,-0.021924579,0.004199503,-0.026124082
3/1/1996,10.26,10.31,9.82,9.88,2.569035,0,-0.016504241,0.004174608,-0.020678849
4/1/1996,9.9,9.95,9.58,9.65,2.526983,0,-0.004839186,0.004265888,-0.009105074
5/1/1996,9.65,9.73,9.43,9.55,2.514784,0,0.021416603,0.004274186,0.017142417
6/1/1996,9.53,9.7,9.37,9.7,2.569223,0,-0.000557522,0.004307377,-0.004864899
7/1/1996,9.69,9.69,9.41,9.64,2.567791,0,-0.013085128,0.004307377,-0.017392505
8/1/1996,9.77,9.89,9.46,9.46,2.53441,0,0.027737798,0.004423535,0.023314263
9/1/1996,9.51,9.72,9.42,9.67,2.605693,0,0.03813828,0.004398645,0.033739635
10/1/1996,9.74,9.99,9.73,9.99,2.706989,0,0.032211594,0.004274186,0.027937408
11/1/1996,9.97,10.26,9.97,10.26,2.795605,0,-0.024356642,0.004299079,-0.028655721
12/1/1996,10.26,10.27,9.91,9.96,2.728336,0,-0.006646221,0.004265888,-0.010912109
1/1/1997,9.85,9.86,9.69,9.84,2.710263,0,-0.000457994,0.004332269,-0.004790263
2/1/1997,9.89,10.04,9.77,9.78,2.709022,0,-0.02401946,0.004282484,-0.028301944
3/1/1997,9.76,9.76,9.5,9.5,2.644728,0,0.023641761,0.004340566,0.019301195
4/1/1997,9.52,9.67,9.44,9.67,2.707999,0,0.009646824,0.004448424,0.0051984
5/1/1997,9.69,9.74,9.6,9.71,2.734249,0,0.017998168,0.004390348,0.01360782
6/1/1997,9.72,9.95,9.72,9.83,2.783906,0,0.052088982,0.004124815,0.047964167
7/1/1997,9.88,10.3,9.88,10.3,2.93276,0,-0.026288048,0.004365458,-0.030653506
8/1/1997,10.13,10.13,9.92,9.98,2.856668,0,0.026326919,0.004365458,0.021961461
9/1/1997,10.02,10.27,9.93,10.19,2.932874,0,0.029442862,0.00435716,0.025085702
10/1/1997,10.26,10.44,10.15,10.44,3.02051,0,0.012925824,0.004207801,0.008718023
11/1/1997,10.37,10.52,10.33,10.52,3.059806,0,0.016404,0.004332269,0.012071731
12/1/1997,10.53,10.67,10.43,10.64,3.110413,0,0.019110764,0.004340566,0.014770198
1/1/1998,10.72,10.91,10.59,10.79,3.170427,0,-0.007086242,0.004456721,-0.011542963
2/1/1998,10.73,10.8,10.59,10.66,3.14804,0,0.000861435,0.004315674,-0.003454239
3/1/1998,10.55,10.74,10.5,10.62,3.150753,0,0.004274589,0.004423535,-0.000148946
4/1/1998,10.67,10.83,10.46,10.61,3.16425,0,0.01818895,0.004290781,0.013898169
5/1/1998,10.62,10.75,10.5,10.75,3.222331,0,0.023572276,0.00415801,0.019414266
6/1/1998,10.79,10.98,10.74,10.95,3.299191,0,-0.005230997,0.004182906,-0.009413903
7/1/1998,10.94,11,10.79,10.84,3.281978,0,0.047438759,0.004240994,0.043197765
8/1/1998,10.91,11.31,10.91,11.31,3.441423,0,0.032733271,0.004240994,0.028492277
9/1/1998,11.22,11.63,11.21,11.63,3.555936,0,-0.017194247,0.004124815,-0.021319062
10/1/1998,11.73,11.93,11.24,11.38,3.495317,0,0.009014789,0.003635052,0.005379737
11/1/1998,11.26,11.43,11.08,11.43,3.526969,0,-0.001630773,0.003601839,-0.005232612
12/1/1998,11.45,11.55,11.19,11.36,3.521222,0,0.009856069,0.0038011,0.006054969
1/1/1999,11.32,11.42,11.11,11.42,3.556099,0,-0.048470427,0.003726382,-0.052196809
2/1/1999,11.3,11.3,10.76,10.83,3.387844,0,-0.015202745,0.003726382,-0.018929127
3/1/1999,10.71,10.94,10.62,10.62,3.336729,0,0.01333344,0.003875813,0.009457627
4/1/1999,10.56,10.86,10.56,10.59,3.381517,0,-0.017300565,0.003734684,-0.021035249
5/1/1999,10.6,10.6,10.35,10.36,3.323518,0,-0.010527254,0.003784496,-0.01431175
6/1/1999,10.25,10.25,9.98,10.2,3.288714,0,-0.00578583,0.003875813,-0.009661643
7/1/1999,10.17,10.32,10.09,10.09,3.269741,0,-0.004913049,0.003975421,-0.00888847
8/1/1999,10.09,10.21,9.93,9.99,3.253716,0,0.00910428,0.00395052,0.00515376
9/1/1999,9.98,10.15,9.92,10.03,3.283474,0,0.001142952,0.004141413,-0.002998461
10/1/1999,9.93,9.99,9.74,9.99,3.287229,0,-0.005796101,0.00405842,-0.009854521
11/1/1999,9.95,10.13,9.84,9.88,3.268231,0,-0.016287141,0.00425759,-0.020544731
12/1/1999,9.86,10.01,9.67,9.67,3.215432,0,0.012570898,0.004406942,0.008163956
1/1/2000,9.58,9.8,9.53,9.74,3.256108,0,0.029559923,0.004431832,0.025128091
2/1/2000,9.79,10.05,9.78,9.98,3.353795,0,0.030569217,0.004788517,0.0257807
3/1/2000,9.97,10.24,9.94,10.24,3.457901,0,-0.00657351,0.004805104,-0.011378614
4/1/2000,10.25,10.4,10.1,10.12,3.435245,0,-0.004768216,0.004888034,-0.00965625
5/1/2000,10.11,10.11,9.77,10.02,3.418904,0,0.023251775,0.004838277,0.018413498
6/1/2000,10.1,10.24,10.06,10.2,3.499331,0,0.01466505,0.004680695,0.009984355
7/1/2000,10.24,10.33,10.15,10.3,3.551027,0,0.020471213,0.004888034,0.015583179
8/1/2000,10.34,10.48,10.34,10.46,3.62447,0,-0.008274239,0.005211397,-0.013485636
9/1/2000,10.5,10.5,10.22,10.32,3.594604,0,0.015566997,0.005244557,0.01032244
10/1/2000,10.27,10.56,10.24,10.43,3.650999,0,0.029600027,0.005178236,0.024421791
11/1/2000,10.45,10.69,10.33,10.69,3.760684,0,0.024367995,0.005302583,0.019065412
12/1/2000,10.64,10.99,10.63,10.9,3.85345,0,0.002945223,0.005161656,-0.002216433
1/1/2001,11.05,11.05,10.71,10.88,3.864816,0,0.018421622,0.004896327,0.013525295
2/1/2001,10.98,11.03,10.79,11.03,3.936672,0,-0.006752288,0.004149711,-0.010901999
3/1/2001,11.09,11.18,10.89,10.91,3.91018,0,-0.025834804,0.004033521,-0.029868325
4/1/2001,10.89,10.96,10.56,10.58,3.810455,0,0.001906353,0.003576928,-0.001670575
5/1/2001,10.62,10.75,10.44,10.55,3.817726,0,0.007924043,0.003286261,0.004637782
6/1/2001,10.6,10.81,10.58,10.58,3.848098,0,0.035420188,0.003020434,0.032399754
7/1/2001,10.63,10.91,10.55,10.91,3.986841,0,0.020253072,0.00303705,0.017216022
8/1/2001,10.88,11.1,10.8,11.08,4.06841,0,0.009115711,0.002945657,0.006170054
9/1/2001,10.92,11.13,10.85,11.13,4.105666,0,0.049987026,0.002804397,0.047182629
10/1/2001,11.18,11.65,11.09,11.65,4.316112,0,-0.052105368,0.001998003,-0.054103371
11/1/2001,11.72,11.76,10.9,11.01,4.096978,0,-0.01843006,0.001706876,-0.020136936
12/1/2001,11.05,11.14,10.6,10.76,4.022162,0,0.012108156,0.001482234,0.010625922
1/1/2002,10.62,10.97,10.62,10.84,4.071159,0,0.01278696,0.00144895,0.01133801
2/1/2002,10.88,10.99,10.81,10.93,4.123551,0,-0.040797229,0.001465592,-0.042262821
3/1/2002,10.83,10.83,10.43,10.45,3.958707,0,0.03763549,0.001490555,0.036144935
4/1/2002,10.45,10.79,10.45,10.79,4.110534,0,0.003449798,0.001490555,0.001959243
5/1/2002,10.83,10.83,10.58,10.78,4.124739,0,0.017451343,0.001473913,0.01597743
6/1/2002,10.78,11.05,10.75,10.92,4.197353,0,0.028917742,0.00144895,0.027468792
7/1/2002,10.93,11.24,10.89,11.19,4.320503,0,0.042229737,0.001415664,0.040814073
8/1/2002,11.22,11.67,11.22,11.62,4.506864,0,0.039743804,0.001423986,0.038319818
9/1/2002,11.79,12.06,11.69,12.04,4.689591,0,-0.028997346,0.001407343,-0.030404689
10/1/2002,11.94,12.06,11.36,11.65,4.555558,0,-0.014047095,0.001307478,-0.015354573
11/1/2002,11.61,11.87,11.44,11.44,4.492013,0,0.031792769,0.001199281,0.030593488
12/1/2002,11.5,11.94,11.48,11.76,4.637121,0,0.008011605,0.00101615,0.006995455
1/1/2003,11.52,11.69,11.4,11.66,4.674421,0,0.03046134,0.00101615,0.02944519
2/1/2003,11.66,11.97,11.63,11.97,4.819001,0,-0.017402675,0.00098285,-0.018385525
3/1/2003,11.97,12.07,11.49,11.72,4.735863,0,0.014915044,0.0009995,0.013915544
4/1/2003,11.71,11.78,11.52,11.78,4.807028,0,0.055235791,0.000949549,0.054286242
5/1/2003,11.78,12.51,11.73,12.4,5.080018,0,-0.014847023,0.000941224,-0.015788247
6/1/2003,12.3,12.71,12.11,12.17,5.005152,0,-0.090026343,0.000924572,-0.090950915
7/1/2003,12.14,12.16,11.08,11.08,4.574244,0,0.014053722,0.000749719,0.013304003
8/1/2003,11.11,11.27,10.99,11.19,4.638983,0,0.049714375,0.00079968,0.048914695
9/1/2003,11.02,11.71,11.01,11.71,4.875436,0,-0.026267255,0.000816333,-0.027083588
10/1/2003,11.71,11.71,11.16,11.36,4.749039,0,0.003372674,0.000791353,0.002581321
11/1/2003,11.31,11.54,11.19,11.35,4.765083,0,0.005788778,0.00079968,0.004989098
12/1/2003,11.31,11.59,11.28,11.37,4.792747,0,0.023661117,0.0007747,0.022886417
1/1/2004,11.26,11.68,11.24,11.52,4.907501,0,0.019705728,0.000791353,0.018914375
2/1/2004,11.49,11.7,11.48,11.7,5.005166,0,0.014172546,0.000766373,0.013406173
3/1/2004,11.68,12.02,11.61,11.82,5.076607,0,-0.056871105,0.00079968,-0.057670785
4/1/2004,11.76,11.76,11.08,11.12,4.795951,0,-0.005600573,0.000791353,-0.006391926
5/1/2004,11.13,11.13,10.79,11.01,4.769166,0,0.008876719,0.000816333,0.008060386
6/1/2004,10.95,11.06,10.8,11.06,4.811689,0,0.014990507,0.000899595,0.014090912
7/1/2004,11.1,11.3,11.06,11.18,4.884362,0,0.033430953,0.00110772,0.032323233
8/1/2004,11.2,11.51,11.2,11.51,5.050411,0,0.009486952,0.001207604,0.008279348
9/1/2004,11.52,11.72,11.36,11.57,5.098552,0,0.014461417,0.001324123,0.013137294
10/1/2004,11.49,11.74,11.43,11.69,5.17282,0,-0.022653669,0.001423986,-0.024077655
11/1/2004,11.62,11.66,11.38,11.38,5.056954,0,0.015482787,0.001590401,0.013892386
12/1/2004,11.36,11.75,11.33,11.51,5.135859,0,0.032221682,0.001856609,0.030365073
1/1/2005,11.52,11.76,11.45,11.76,5.30404,0,-0.012105885,0.001848291,-0.013954176
2/1/2005,11.76,12.01,11.57,11.57,5.240217,0,-0.011898452,0.002089482,-0.013987934
3/1/2005,11.55,11.66,11.29,11.39,5.178236,0,0.035920522,0.002297359,0.033623163
4/1/2005,11.44,11.73,11.38,11.71,5.367622,0,0.025139356,0.002322301,0.022817055
5/1/2005,11.71,11.96,11.61,11.96,5.504271,0,0.016607238,0.002413751,0.014193487
6/1/2005,12.07,12.14,11.83,12.11,5.596445,0,-0.026350292,0.002488568,-0.02883886
7/1/2005,11.99,11.99,11.73,11.75,5.450903,0,0.028439792,0.002604938,0.025834854
8/1/2005,11.71,12.04,11.6,12.04,5.608151,0,-0.028052042,0.002845946,-0.030897988
9/1/2005,12.01,12.01,11.66,11.66,5.453017,0,-0.017730756,0.00292904,-0.020659796
